Sample_Name,Treatment,Cip_concentration,Sample_type,Raw_paired_reads
inoc_S1,inoculum,0,inoculum,40548502
inoc_S2,inoculum,0,inoculum,34559054
inoc_S3,inoculum,0,inoculum,37337256
cipdic0_S1,diclo 0,0,diclofenac,34995208
cipdic0_S2,diclo 0,0,diclofenac,35659656
cipdic0_S3,diclo 0,0,diclofenac,29753349
cipdic5_S1,diclo 5,5,diclofenac,34501393
cipdic5_S2,diclo 5,5,diclofenac,35885786
cipdic5_S3,diclo 5,5,diclofenac,35885786
cipdic10_S1,diclo 10,10,diclofenac,29927247
cipdic10_S2,diclo 10,10,diclofenac,33871998
cipdic10_S3,diclo 10,10,diclofenac,36207006
cipdic20_S1,diclo 20,20,diclofenac,32167192
cipdic20_S2,diclo 20,20,diclofenac,37891360
cipdic20_S3,diclo 20,20,diclofenac,37086275
cipdic40_S1,diclo 40,40,diclofenac,35154381
cipdic40_S2,diclo 40,40,diclofenac,37418929
cipdic40_S3,diclo 40,40,diclofenac,36511742
cipmet0_S1,met 0,0,metformin,23962095
cipmet0_S2,met 0,0,metformin,25678652
cipmet0_S3,met 0,0,metformin,29259735
cipmet5_S1,met 5,5,metformin,28489629
cipmet5_S2,met 5,5,metformin,26400971
cipmet5_S3,met 5,5,metformin,23646977
cipmet10_S1,met 10,10,metformin,28172513
cipmet10_S2,met 10,10,metformin,25608480
cipmet10_S3,met 10,10,metformin,33420489
cipmet20_S1,met 20,20,metformin,26855977
cipmet20_S2,met 20,20,metformin,28739530
cipmet20_S3,met 20,20,metformin,27426481
cipmet40_S1,met 40,40,metformin,30664466
cipmet40_S2,met 40,40,metformin,51317226
cipmet40_S3,met 40,40,metformin,25236091
cipbeta0_S1,beta 0,0,beta-estradiol,28064430
cipbeta0_S2,beta 0,0,beta-estradiol,27773209
cipbeta0_r3,beta 0,0,beta-estradiol,31055889
cipbeta5_S1,beta 5,5,beta-estradiol,30395241
cipbeta5_S2,beta 5,5,beta-estradiol,28767402
cipbeta5_S3,beta 5,5,beta-estradiol,28564559
cipbeta10_S1,beta 10,10,beta-estradiol,41191146
cipbeta10_S2,beta 10,10,beta-estradiol,32830441
cipbeta10_S3,beta 10,10,beta-estradiol,34950918
cipbeta20_S1,beta 20,20,beta-estradiol,29500140
cipbeta20_S2,beta 20,20,beta-estradiol,29264499
cipbeta20_S3,beta 20,20,beta-estradiol,29495243
cipbeta40_S1,beta 40,40,beta-estradiol,35131215
cipbeta40_S2,beta 40,40,beta-estradiol,31987141
cipbeta40_S3,beta 40,40,beta-estradiol,25006587
cip0_S1,cip 0,0,ciprofloxacin,33353142
cip0_S2,cip 0,0,ciprofloxacin,33175226
cip0_S3,cip 0,0,ciprofloxacin,33973341
cip5_S1,cip 5,5,ciprofloxacin,32267569
cip5_S2,cip 5,5,ciprofloxacin,31704222
cip5_S3,cip 5,5,ciprofloxacin,34996288
cip10_S1,cip 10,10,ciprofloxacin,32900085
cip10_S2,cip 10,10,ciprofloxacin,40133749
cip10_S3,cip 10,10,ciprofloxacin,36409122
cip20_S1,cip 20,20,ciprofloxacin,33119077
cip20_S2,cip 20,20,ciprofloxacin,32112648
cip20_S3,cip 20,20,ciprofloxacin,35992666
cip40_S1,cip 40,40,ciprofloxacin,50793481
cip40_S2,cip 40,40,ciprofloxacin,36147972
cip40_S3,cip 40,40,ciprofloxacin,33360204
