Sample,Rep,d0_16S ,d7_16S ,d0_intI1 ,d7_intI1
0,1,20520.38,254852384,83.88,329082.5
0,1,20560.31,272946944,80.08,323388.91
0,2,6790.2,230323152,30.46,1756205
0,2,7269.41,253136768,24.47,1774565.63
0,3,20878.96,258758880,98.55,1278754.88
0,3,20111.76,249388992,73.41,1261244.88
0,4,12042.94,269718240,54.35,1416617.63
0,4,13615.14,245089296,53.76,1665362.25
0,5,13628.51,239539968,32.59,1415517.63
0,5,10048.39,283852320,31.94,1408898.38
5,1,9383.98,241689696,52.37,3513496.75
5,1,10004.87,231462192,48.22,3588098
5,2,23775.74,215413808,38.33,414567.09
5,2,21660.75,218268400,44.21,392774.88
5,3,9830.2,239285648,38.77,623999.56
5,3,9903.46,241621808,35.89,560215.63
5,4,15336.16,252883776,50.41,1153906.25
5,4,14363.29,253635088,51.08,1173795
5,5,17056.79,233522464,59.85,138890.58
5,5,17807.77,233945744,46.72,143115.72
10,1,2150.64,74298752,33.47,3985677.25
10,2,6092.39,93926504,139.36,2529743
10,2,6389.43,92767432,98.81,2366731
10,3,1294.35,81598096,16.21,2024336.75
10,3,1168.66,83428960,31.64,1970078.38
10,4,2440.21,81597984,49.25,2513445.5
10,4,2398.81,84890984,41.59,2701689.5
10,5,1802.46,82455528,26.94,4313558.5
10,5,1796.32,83704480,54.68,4253848.5
20,1,2781.46,89186912,62.29,1724482.25
20,1,2880.34,81880256,60.95,1776335.5
20,2,7455.7,82574840,146.15,31331136
20,2,6059.89,82981656,178.84,32808486
20,3,3390.26,90930080,59.27,6603302.5
20,3,3282.14,88613584,53,6106032
20,4,2398.73,72255768,44.74,12213598
20,4,2460.53,60357816,25.72,11662376
20,5,2470.38,82304784,39.2,10440361
20,5,2651.19,76360048,29.59,10271319
40,1,2162.25,51695364,36.92,10978364
40,1,2028.91,50217088,18.1,10771616
40,2,1140.64,75221384,28.54,5706570
40,2,977.17,80060056,16.59,5571231
40,3,2646.71,87728928,46.95,12454723
40,3,2766.16,89358664,43.95,13348872
40,4,3280.36,82266488,63.04,5308331
40,4,2715,75793824,80.99,4583164
40,5,857.07,87664192,22.39,10582714
40,5,881.33,82088144,27.72,10694104
